category_href,pageNo,Armacad Link,Title,Image,Deadline,Disciplines,Eligible Countries,Host Country,Study Levels,Opportunities
/opportunities/grants,2,https://armacad.info/2018-11-26--paul-mellon-centre-studies-in-british-art-research-program-2019-uk,"Paul Mellon Centre Studies in British Art Research Program 2019, UK",https://armacad.info/images/2018/11/26/x12f178b005dc5406.png.pagespeed.ic.dj1AU9EBpP.jpg,"
January 31, 2019 ","['archaeology', 'art-history', 'arts', 'history']",['international'],['united-kingdom'],['research'],"['fellowships', 'grants']"
/opportunities/grants,2,https://armacad.info/2018-12-14--bo-azici-university-andrew-w-mellon-postdoctoral-fellowships-in-byzantine-studies-2019-20-turkey,"Boğaziçi University Andrew W. Mellon Postdoctoral Fellowships in Byzantine Studies 2019/20, Turkey",https://armacad.info/images/2018/12/14/xc2ad4adb07120989.png.pagespeed.ic.o9ypudRvBL.png,"
January 31, 2019 ","['culture', 'history', 'languages', 'linguistics', '3']",['international'],['turkey'],"['postdoctoral', 'research']","['fellowships', 'grants']"
/opportunities/grants,2,https://armacad.info/2018-10-31--febs-advanced-lecture-course-on-human-fungal-pathogens-molecular-mechanisms-of-host-pathogen-interactions-and-virulence-18-24-may-2019-france,"FEBS Advanced Lecture Course on Human Fungal Pathogens - Molecular Mechanisms of Host-Pathogen Interactions and Virulence, 18-24 May 2019, France",https://armacad.info/images/2018/10/31/x94553cf041da93a4.png.pagespeed.ic.sTcA0cH9_b.jpg,"
February 01, 2019 ","['biology', 'medicine', 'public-health']",['international'],['france'],[],"['grants', 'scholarships']"
/opportunities/grants,2,https://armacad.info/2018-11-30--wayne-state-university-walter-p-reuther-library-scholarship-programs-2019-usa,"Wayne State University Walter P. Reuther Library Scholarship Programs 2019, USA",https://armacad.info/images/2018/11/30/xabaaf0282ddce5b0.png.pagespeed.ic.DIqZ4u9JqT.png,"
February 01, 2019 ","['education', 'history', 'science']",['united-states'],['united-states'],['research'],"['awards', 'grants', 'scholarships']"
/opportunities/grants,2,https://armacad.info/2018-11-28--ernst-mach-grant-worldwide-2019-20-austria,"Ernst Mach Grant -Worldwide 2019-20, Austria",https://armacad.info/pagespeed_static/1.JiBnMqyl6S.gif,"
February 01, 2019 ","['agriculture', 'arts', 'health', 'humanities', 'international-relations', 'medicine', 'social-sciences', 'technology']",['international'],['austria'],['research'],['grants']
/opportunities/grants,2,https://armacad.info/2018-12-11--new-england-regional-fellowship-consortium-grants-2019-20-usa,"New England Regional Fellowship Consortium Grants 2019/20, USA",https://armacad.info/images/2018/12/11/x9d69cd1dc6fa70c2.png.pagespeed.ic.QXe53vjeY0.png,"
February 01, 2019 ","['african-studies', 'anthropology', 'art-history', 'environmental-studies', 'gender-studies', 'history', 'law', 'literature', 'medicine', 'ocean-sciences', 'philosophy', 'religious-studies', 'sociology', 'technology']",['international'],['united-states'],[],"['fellowships', 'grants']"
/opportunities/grants,2,https://armacad.info/2018-12-17--center-for-urban-history-residence-grant-program-2019-2020-ukraine,"Center for Urban History Residence Grant Program 2019-2020, Ukraine",https://armacad.info/images/2018/12/17/x5410c008624483da.png.pagespeed.ic._Y2P3CTyuJ.png,"
February 01, 2019 ","['anthropology', 'culture', 'history', 'humanities', 'science', 'social-sciences']","['belarus', 'poland', 'russia', 'ukraine', 'united-kingdom']",['ukraine'],['research'],['grants']
/opportunities/grants,2,https://armacad.info/2018-11-09--open-society-fellowship-2019-usa,International Open Society Fellowship 2019,https://armacad.info/images/2018/11/09/f9f306ef7cc46f03.png,"
February 04, 2019 ","['economics', 'entrepreneurship', 'governance', 'social-sciences']",['international'],[],[],"['fellowships', 'grants']"
/opportunities/grants,2,https://armacad.info/2018-12-13--swedish-research-council-for-health-working-life-and-welfare-grant-programs-2019-sweden,"Swedish Research Council for Health, Working Life and Welfare Grant Programs 2019, Sweden",https://armacad.info/images/2018/12/13/c447cec211c254f3.png,"
February 05, 2019 ","['health', 'humanities', 'social-sciences', 'sociology']",['international'],['sweden'],"['postdoctoral', 'research']",['grants']
/opportunities/grants,3,https://armacad.info/2018-12-20--european-research-council-consolidator-grant-program-in-all-scientific-fields-2019,European Research Council Consolidator Grant Program in All Scientific Fields 2019,https://armacad.info/images/2018/12/20/xb804e625802977de.png.pagespeed.ic.DeYrtg9Fpx.png,"
February 07, 2019 ",['any'],['international'],[],['research'],['grants']
